"time","humidity","LDR","MoistureLevel","temperature"
"1821695","62","2905","3491","31.89999962"
"3957507","61","2881","3505","32"
"197613","65","2113","3444","32.59999847"
"124166","65","2035","2646","32.59999847"
"1276025","59","2405","3541","31.60000038"
"716607","66","2550","3206","31.39999962"
"15278336","61","4095","1403","31.70000076"
"345728","61","2293","3659","31.89999962"
"50248","64","2179","2863","33.29999924"
"35028","64","2003","2832","33.40000153"
"53433","null","2138","2929","null"
"55965","72","2559","3353","31.10000038"
"22347520","66","2805","1433","31.89999962"
"2375729","60","2404","3617","31.89999962"
"21585455","64","2732","1408","31.89999962"
"14856","70","2285","1469","31.39999962"
"2828199","60","2288","3583","31.79999924"
"1465750","59","2361","3647","31.70000076"
"71821","65","2171","3462","32.5"
"289917","61","2263","3630","31.89999962"
"30086","65","1965","2469","32.79999924"
"13423298","61","4080","1419","31.79999924"
"109344","65","2190","3493","32.5"
"522249","61","2406","3663","31.89999962"
"2327035","60","2294","3613","31.89999962"
"58385","60","2384","3415","31.89999962"
"535969","60","2789","3461","31.70000076"
"1224298","60","2390","3635","31.60000038"
"2133280","60","2406","3699","31.89999962"
"2333122","60","2352","3567","31.89999962"
"44163","64","2165","2855","33.29999924"
"103876","65","2075","2643","32.59999847"
"2096757","60","2413","3621","32"
"2682112","60","2351","3598","31.79999924"
"11969348","62","3792","1460","31.79999924"
"2890096","60","2429","3625","31.79999924"
"51529","70","1953","1702","32.09999847"
"556024","60","2816","3504","31.79999924"
"6905604","61","3134","3417","32.20000076"
"6063314","61","2955","3443","32.20000076"
"14185364","61","4095","1433","31.70000076"
"11337631","61","3769","1425","31.79999924"
"1460711","62","3311","3473","31.89999962"
"11107002","61","3729","1418","31.79999924"
"24128","68","1022","1799","32.09999847"
"22467847","67","2807","1422","31.89999962"
"46804","65","2161","3007","32.59999847"
"4960232","61","2917","3495","32.09999847"
"79576","64","2023","2489","33.20000076"
"4468897","61","2894","3475","31.89999962"
"13904607","61","4095","1422","31.70000076"
"101894","64","2054","2496","33.09999847"
"101229","71","1872","2559","32.29999924"
"5481729","61","2898","3472","32.29999924"
"1267612","62","432","1725","32.70000076"
"70918","64","2414","3038","32.90000153"
"13363135","61","4091","1407","31.70000076"
"14415990","61","4095","1421","31.79999924"
"4288406","61","2895","3485","31.89999962"
"2207320","60","2363","3583","32"
"6604785","61","2957","3426","32.20000076"
"79804","65","2003","2899","32.90000153"
"8640304","62","3583","1415","32.20000076"
"2259073","60","2432","3607","31.89999962"
"11698615","62","3872","1426","31.79999924"
"26516","65","2156","3024","32.59999847"
"2321315","65","2823","1430","31.70000076"
"482669","61","2309","3626","31.89999962"
"366014","65","2819","1437","31.79999924"
"10676662","62","3291","3506","31.79999924"
"97918","64","2097","2925","33.20000076"
"130378","64","2128","3055","33.20000076"
"1853290","60","2377","3638","31.89999962"
"2174861","60","2334","3622","32"
"8650332","62","3583","1413","32.20000076"
